DATE,CRSPTM1,CRSPME1,CRSPLC1,CRSPMI1,CRSPSC1,CRSPMC1,CRSPSX1,CRSPTMT,CRSPMET,CRSPLCT,CRSPMIT,CRSPSCT,CRSPMCT,CRSPSXT,CRSPSM1,CRSPSMT,CAP_RESTATEMENT,CRSPRE1,CRSPEN1,CRSPMT1,CRSPID1,CRSPCS1,CRSPHC1,CRSPTE1,CRSPUT1,CRSPFN1,CRSPIT1,CRSPRET,CRSPENT,CRSPMTT,CRSPIDT,CRSPCST,CRSPHCT,CRSPTET,CRSPUTT,CRSPFNT,CRSPITT,SECTOR_RESTATEMENT,CRSPMEV1,CRSPMEG1,CRSPLCV1,CRSPLCG1,CRSPMIV1,CRSPMIG1,CRSPSCV1,CRSPSCG1,CRSPMEVT,CRSPMEGT,CRSPLCVT,CRSPLCGT,CRSPMIVT,CRSPMIGT,CRSPSCVT,CRSPSCGT,CRSPSMG1,CRSPSMGT,CRSPSMV1,CRSPSMVT,VG_RESTATEMENT
2011-06-21,974.48,975.26,976.26,980.85,967.02,938.48,,978.52,979.84,980.56,983.90,969.55,940.52,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-22,968.42,968.83,970.16,976.25,961.89,928.05,,972.49,973.42,974.48,979.32,964.46,930.24,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-23,966.48,965.86,967.78,976.65,962.24,931.36,,970.54,970.44,972.09,979.72,964.86,933.56,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-24,955.80,954.43,956.51,966.12,954.15,932.09,,959.82,958.95,960.77,969.15,956.75,934.32,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-27,964.13,963.45,965.10,972.72,960.58,940.52,,968.18,968.01,969.39,975.77,963.20,942.85,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-28,976.97,975.79,977.72,986.65,975.35,950.77,,981.34,980.66,982.32,989.99,978.29,953.54,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-29,984.73,984.26,985.92,993.59,981.42,948.67,,989.26,989.33,990.69,996.98,984.48,951.47,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,994.31,994.39,995.68,1001.60,989.85,957.63,,998.89,999.51,1000.50,1005.02,992.95,960.52,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-01,1008.84,1008.34,1009.99,1017.60,1006.56,967.74,,1013.60,1013.67,1015.00,1021.11,1009.76,970.69,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-05,1008.19,1007.45,1009.09,1016.67,1007.25,969.67,,1012.97,1012.82,1014.13,1020.19,1010.47,972.64,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-06,1009.70,1008.41,1010.05,1017.61,1012.06,975.29,,1014.81,1014.20,1015.45,1021.21,1015.35,978.30,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-07,1020.53,1018.65,1020.49,1028.96,1024.77,992.19,,1025.75,1024.56,1026.00,1032.66,1028.23,995.28,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-08,1013.60,1011.99,1013.48,1020.36,1018.07,987.35,,1018.79,1017.86,1018.96,1024.03,1021.52,990.44,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-11,994.36,994.14,994.77,997.63,994.75,970.67,,999.47,999.93,1000.17,1001.22,998.12,973.70,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-12,989.92,989.70,990.24,992.63,990.71,968.34,,995.02,995.47,995.61,996.21,994.11,971.37,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-13,993.72,993.03,993.57,996.01,996.71,979.21,,998.93,998.93,999.06,999.61,1000.26,982.38,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-14,985.65,986.71,986.47,985.23,982.81,964.98,,990.84,992.59,991.93,988.79,986.33,968.12,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-15,991.72,992.35,992.64,993.93,988.16,970.58,,996.94,998.26,998.14,997.52,991.70,973.74,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-18,982.53,984.93,984.30,981.25,973.79,956.09,,987.73,990.85,989.79,984.79,977.28,959.21,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-19,999.37,1000.58,1000.63,1000.73,993.91,975.22,,1004.66,1006.59,1006.21,1004.35,997.49,978.40,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-20,998.60,1000.17,999.88,998.43,993.30,972.14,,1004.00,1006.33,1005.59,1002.04,996.89,975.33,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-21,1011.50,1014.24,1013.17,1008.08,1003.83,982.54,,1017.05,1020.58,1019.04,1011.75,1007.46,985.79,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-22,1012.88,1015.20,1014.61,1011.76,1005.41,979.45,,1018.45,1021.57,1020.50,1015.45,1009.05,982.69,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-25,1006.28,1009.59,1008.61,1003.93,995.59,965.94,,1011.82,1015.92,1014.47,1007.63,999.19,969.14,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-26,1001.65,1005.69,1004.43,998.46,988.28,957.94,,1007.17,1012.00,1010.28,1002.14,991.86,961.11,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-27,979.77,985.71,983.46,972.88,960.59,931.89,,985.22,991.92,989.23,976.58,964.16,934.98,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-28,976.70,983.15,980.55,968.33,955.42,935.40,,982.21,989.41,986.39,972.23,959.03,938.56,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-29,971.19,976.47,974.51,965.25,953.24,932.70,,976.68,982.70,980.32,969.14,956.84,935.86,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-01,967.02,973.34,970.60,957.69,946.61,933.14,,972.48,979.55,976.39,961.54,950.20,936.31,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-02,941.09,949.10,945.21,926.93,916.95,907.35,,946.42,955.15,950.84,930.67,920.45,910.45,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-03,945.98,953.67,950.08,933.21,921.56,914.45,,951.62,960.13,956.08,937.12,925.13,917.65,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-04,898.11,908.60,903.24,878.09,866.84,864.35,,903.52,914.80,908.99,881.80,870.28,867.44,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-05,894.85,908.63,901.83,869.97,852.04,850.82,,900.26,914.83,907.58,873.70,855.51,853.89,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-08,832.00,848.94,840.71,802.13,778.26,779.35,,837.14,854.87,846.19,805.62,781.47,782.19,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-09,874.22,888.70,881.71,848.94,827.99,829.17,,879.64,894.93,887.47,852.64,831.44,832.22,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-10,836.70,849.29,843.98,819.06,793.39,780.88,,842.18,855.63,849.84,822.74,796.74,783.88,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-11,876.21,888.01,883.21,860.63,836.10,812.26,,882.12,894.81,889.49,864.62,839.83,815.57,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-12,880.77,892.50,888.03,867.06,839.85,809.36,,886.73,899.33,894.37,871.16,843.64,812.82,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-15,901.01,911.53,907.58,889.03,864.60,832.06,,907.19,918.58,914.13,893.25,868.60,835.62,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-16,891.01,902.98,898.19,875.70,851.17,816.04,,897.26,910.15,904.83,879.91,855.16,819.55,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-17,891.04,904.40,898.68,871.83,847.72,817.94,,897.52,911.87,905.57,876.14,851.77,821.55,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-18,849.55,865.15,858.05,824.74,799.97,777.67,,855.76,872.34,864.68,828.84,803.83,781.13,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-19,836.37,852.04,844.78,810.70,786.84,768.81,,842.49,859.13,851.31,814.75,790.64,772.27,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-22,836.28,851.88,844.76,811.37,786.67,765.61,,842.40,858.96,851.29,815.43,790.48,769.07,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-23,866.03,880.50,873.86,842.70,820.64,798.43,,872.39,887.82,880.62,846.97,824.65,802.05,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-24,877.44,892.03,885.26,853.51,832.32,807.91,,884.01,899.59,892.25,857.92,836.44,811.60,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-25,862.57,878.66,871.09,835.60,813.56,785.95,,869.04,886.12,877.98,839.94,817.63,789.55,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-08-26,877.31,891.24,884.94,855.41,834.33,801.67,,884.00,898.96,892.07,859.86,838.52,805.35,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
