filter_config,N,K,config_T,config_fix_mu,results_steps_mean,results_steps_median,results_steps_std,timing_total_script_duration_s_mean,timing_total_script_duration_s_median,timing_total_script_duration_s_std,accuracy_state_estimation_factor_rmse_mean_mean,accuracy_state_estimation_factor_rmse_mean_median,accuracy_state_estimation_factor_rmse_mean_std,accuracy_state_estimation_factor_correlation_mean_mean,accuracy_state_estimation_factor_correlation_mean_median,accuracy_state_estimation_factor_correlation_mean_std,accuracy_state_estimation_volatility_rmse_mean_mean,accuracy_state_estimation_volatility_rmse_mean_median,accuracy_state_estimation_volatility_rmse_mean_std,accuracy_state_estimation_volatility_correlation_mean_mean,accuracy_state_estimation_volatility_correlation_mean_median,accuracy_state_estimation_volatility_correlation_mean_std,loss_diff_mean,loss_diff_median,loss_diff_std,success_rate
PF-5000,15,3,2000,0,305.8,289.0,68.01249885131408,553.52502450943,581.2579100131989,130.41821915176564,1.8672703970520612,2.0446792960543907,0.7644274231048032,0.9326490140205521,0.9399303359093837,0.02242605409815254,2.18774863636357,2.1103965383654635,0.1974040000013262,0.7773953160355653,0.7876582070960061,0.020849348977396178,75787.303125,49397.6171875,176232.6180649962,100.0
PF-1000,10,3,500,1,331.2,275.0,191.70472085997255,36.85551128387451,31.13584876060486,21.236676897456483,2.9900105858723824,1.811419728963277,3.1494988588465906,0.6887418605999236,0.8060575422942237,0.25759488128899055,2.278099921394972,1.6988127335400078,1.1849183472130558,0.5345280031554838,0.5495657107540258,0.13865891033645708,3959390.24765625,-272953.96484375,9483985.110596156,100.0
BIF,10,3,2000,1,187.0,251.0,132.077628688586,693.0149233818054,950.2544906139374,499.8820515495215,2.179880258336523,2.2435525304121375,0.49162722406200066,0.7678999450323772,0.7481073761637352,0.0519337491566126,1.5956440995536125,1.5480059347208448,0.1199768025667522,0.8607108737859704,0.8729499187753219,0.022424786153799874,2249.456664586566,-112.44176229429286,4279.822169685879,100.0
BIF,10,3,1000,1,234.0,301.0,135.91173606425605,444.1364212036133,567.298425912857,253.04725998328652,2.056908348743435,1.7877603732441718,0.4789444418034095,0.7431241650163323,0.7608085751826535,0.02970553234006087,1.5922898588324272,1.5788200332986364,0.029722755509027518,0.8441053985289653,0.8488450580148048,0.026434249820092005,191.45412741627837,-46.593119423745065,488.2037966259039,100.0
BIF,5,2,1000,1,87.6,73.0,34.74622281630048,159.2635844230652,124.96795606613159,67.78105680353576,2.727520571462389,2.2661441502755686,0.8993323278571871,0.7610994984188942,0.7523350802527671,0.020320848661655493,1.6857231289493129,1.6506888841137832,0.07278257252521945,0.8627904228707758,0.859053341405484,0.015177470088941476,10.036803594008251,6.655510913048147,63.365784487249854,100.0
PF-1000,15,3,2000,0,207.6,156.0,78.3217721964972,99.53014106750489,94.90303564071655,44.78338496386813,1.8554603897063888,1.7049347140400972,0.9703693482849831,0.90721892467815,0.9049687991416405,0.020675607205749423,2.0189973747062835,2.0385524291006036,0.18415591507007256,0.7561043133652864,0.7529871400116616,0.015726069024897163,797088.2953125,27546.859375,1635611.3037646657,100.0
PF-1000,10,3,2000,1,231.4,254.0,70.69865628143154,77.36044683456421,78.82710099220276,19.87950659957431,8.320019341488033,6.24531473817578,5.367582422343954,0.8444306342776915,0.8436894092749236,0.05633039654667548,1.9538620458021754,1.9954475488864336,0.4069640949257529,0.6577555669427338,0.7740075284145819,0.23284712417471642,6428485.41875,1380593.0,12059278.683164423,100.0
PF-10000,10,2,2000,0,364.8,385.0,42.72821082142336,1235.2155356407166,1165.6668395996094,231.12631452578253,1.645753470381172,1.4200241742475384,0.5793288478136867,0.98407079574378,0.9892423777273318,0.011147352488722378,2.2539576009196574,2.066515392160788,0.6298530786647485,0.8170613713607487,0.821858356855313,0.019486215457404907,-426855.823828125,1282.29296875,1013787.5311841482,100.0
PF-10000,5,2,2000,0,250.0,235.0,106.10136662644831,744.1750874042511,745.5299444198608,339.55030524651465,0.8488663016452309,0.7880951088199762,0.22045930382224874,0.9862884644855046,0.9864169075682758,0.003506147060320416,1.8182610867687896,1.8653814786752132,0.11357390540107958,0.8143856065849399,0.8198085655171207,0.020284268306796454,14008.12265625,3440.5595703125,22831.06925714159,100.0
PF-1000,15,5,1000,0,231.4,197.0,98.20285128243476,60.12497754096985,49.41646456718445,26.189744658155707,10.188724608817603,9.443227938861483,5.158044192933802,0.7987627321897424,0.8083366956313682,0.13124268945337064,3.022658058109161,2.62541683534285,0.949230397303939,0.570603665693358,0.5552882617604732,0.1558730425162154,26603600.425,-4089884.0,57866710.38676002,100.0
