N,K,T,num_particles,seed,bf_time,pf_time,bf_rmse_f,bf_corr_f,bf_rmse_h,bf_corr_h,pf_rmse_f,pf_corr_f,pf_rmse_h,pf_corr_h,error,bf_rmse_f_mean,bf_rmse_h_mean,bf_corr_f_mean,bf_corr_h_mean,pf_rmse_f_mean,pf_rmse_h_mean,pf_corr_f_mean,pf_corr_h_mean
10,5,1000,10000.0,20502,,5.935291051864624,,,,,[0.72771109 0.437183   0.43318351 0.46346879 0.60041149],[0.84982065 0.84932264 0.91052427 0.8733684  0.79801986],[0.2407073  0.23385444 0.21754387 0.23711592 0.21234017],[ 0.05722384  0.02812165  0.0492211   0.0354186  -0.02146518],,,,,,0.5323915739160251,0.22831234008073836,0.8562111614731454,0.029704001473089027
10,10,1000,,11000,0.6023178100585938,,"[0.50900312 0.58864578 0.25152052 0.4426608  0.35260936 0.35204187
 0.29862996 0.40896236 0.46472509 0.59208674]","[0.96035626 0.73840054 0.94342709 0.92975938 0.90959922 0.97049763
 0.95256326 0.93179849 0.89113365 0.92244002]","[0.33821624 0.30877443 0.29370592 0.54654051 0.38709234 0.20252571
 0.36351395 0.45704009 0.28895875 0.36309044]","[ 2.03553464e-16  2.98086182e-16  9.92668918e-16 -1.36914765e-16
             nan -1.31819329e-16  8.06663875e-17  8.95034225e-17
 -4.26281721e-16             nan]",,,,,,0.42608856008736157,0.35494583698945525,0.9149975540782938,,,,,
10,10,1000,,11001,0.49063849449157715,,"[0.39498443 0.39745509 0.40082555 0.42249926 0.52541591 0.52204665
 0.375449   0.35374322 0.3476483  0.84622909]","[0.87956269 0.90894325 0.95848707 0.87889588 0.9613528  0.92128008
 0.9301128  0.96190445 0.94751917 0.83166327]","[0.24394837 0.52924657 0.33288625 0.31074254 0.55382369 0.35076367
 0.36718041 0.35872363 0.33510784 0.54276837]","[0.04624342 0.28811085 0.15959279 0.03255169 0.31653551 0.18864452
 0.13062515 0.04947883 0.19366461 0.30563609]",,,,,,0.45862965108873655,0.39251913352489004,0.9179721465751504,0.17110834650307172,,,,
10,10,1000,,11002,0.8179757595062256,,"[0.46499871 0.48478051 0.34639151 0.36610182 0.45309457 0.53707235
 0.52286588 0.41012427 0.35490952 0.52556097]","[0.91589234 0.94883104 0.96776224 0.96155898 0.91971901 0.94775451
 0.90637445 0.97500795 0.97880008 0.91690036]","[0.66074817 0.61056568 0.364822   0.44231606 0.49422685 0.47877948
 0.55141578 0.40785491 0.58049254 0.57003094]","[0.27119707 0.2009299  0.22356468 0.21717636 0.18802434 0.30691664
 0.24245538 0.17906625 0.16189323 0.21712835]",,,,,,0.4465900103111891,0.5161252388036799,0.9438600961779156,0.22083522059144128,,,,
10,10,1000,1000.0,12000,,1.8087120056152344,,,,,"[0.72051703 0.98540834 0.6161209  0.84340552 0.6264736  0.92732962
 1.25783071 0.8040047  0.72099511 0.46035975]","[0.68319442 0.64860427 0.7950265  0.5283916  0.80234578 0.4748865
 0.51056491 0.66861116 0.7459205  0.8862591 ]","[0.71520114 0.38539444 0.56742726 0.7216614  0.66653209 0.48641349
 0.54474727 0.75855786 0.77635239 0.82957965]","[ 0.02451597 -0.01143174  0.02628291  0.04955577  0.0740679   0.01381458
  0.05554164  0.0495997   0.05068064  0.01728518]",,,,,,0.7962445271050517,0.6451866993854587,0.6743804741839318,0.03499125383977342
10,10,1000,1000.0,12001,,1.8905200958251953,,,,,"[0.93326774 0.9329633  0.64647841 0.49334321 0.84457958 0.6977034
 0.69076187 0.91947622 0.72406386 0.80168572]","[0.54202517 0.59761939 0.81877028 0.78517767 0.58402515 0.68859737
 0.71108411 0.56709578 0.67813643 0.63242947]","[0.34052141 1.37949564 1.23434555 0.66231853 0.62263783 0.57537783
 0.57261347 0.38850813 0.97592024 0.86109949]","[ 0.02618122  0.04358575  0.07659926  0.05579261  0.00374471  0.03165748
 -0.02527097  0.03249472  0.06008274  0.04537389]",,,,,,0.7684323300422639,0.7612838124411011,0.6604960812019925,0.035024139354890266
10,10,1000,1000.0,12002,,1.82932710647583,,,,,"[1.23164075 0.96305817 1.04411345 0.67905379 0.81701644 0.91883671
 1.01580169 1.05257127 0.77365843 0.6914258 ]","[0.4982017  0.82013278 0.76480843 0.60526162 0.76636524 0.66402426
 0.5018698  0.7223794  0.87717903 0.86852364]","[0.76354793 0.31933824 0.45843795 0.44627096 0.49128443 0.51179953
 0.50226436 0.42231823 0.39508164 0.52564731]","[ 0.04673473  0.09036748  0.0309019   0.03893262 -0.00267731  0.03629238
 -0.04657642  0.02563312  0.0024316   0.04238745]",,,,,,0.9187176489976127,0.48359905778167056,0.7088745894686342,0.026442753570454613
10,10,1000,10000.0,21000,,10.972429990768433,,,,,"[0.82396892 0.52933688 0.46638782 0.53140575 0.82887523 0.64979357
 0.56214514 0.72952144 0.76707842 0.68008021]","[0.76661129 0.80192302 0.82812236 0.83807607 0.495653   0.81959339
 0.72719337 0.62631215 0.75772016 0.79346616]","[0.61240767 0.54289685 0.41517334 1.08956659 0.29688735 0.41549698
 0.45736534 0.3613999  0.33348632 0.54275691]","[ 0.07199664  0.08112615  0.06604705  0.06275963 -0.02156207  0.0397077
  0.07899894  0.08161669  0.05085587 -0.00245468]",,,,,,0.6568593377453446,0.5067437257672245,0.7454670975816249,0.05090919292379291
10,10,1000,10000.0,21001,,11.56538438796997,,,,,"[0.72188084 0.78641662 0.61813748 0.6848879  0.47679652 0.70246346
 0.8916868  0.62815729 0.81300523 0.60692194]","[0.6049036  0.78795684 0.76100184 0.77151288 0.89086196 0.83586387
 0.71047283 0.71674999 0.71533169 0.54595056]","[0.6035632  0.78256154 0.89109513 1.16183924 0.6445672  1.73061401
 0.53236133 0.50861586 0.58983678 0.44987722]","[0.18730318 0.20389034 0.24153525 0.31208342 0.20114323 0.35130724
 0.23151879 0.1448726  0.28625779 0.24410825]",,,,,,0.6930354088914363,0.7894931526610985,0.7340606049684686,0.2404020089771582
10,10,1000,10000.0,21002,,10.298728466033936,,,,,"[0.5781732  0.80407767 0.60315646 0.58644228 0.61991534 0.66177351
 0.69861293 0.69073718 0.83784718 0.56470856]","[0.89063454 0.8495872  0.81696456 0.81304305 0.64358583 0.81295782
 0.69186099 0.69172886 0.71152196 0.78950097]","[0.41026896 0.45959269 1.01202992 0.85059613 0.29580994 0.39737491
 0.72137728 0.40404814 0.45580689 0.69365069]","[0.07984813 0.06681591 0.12403571 0.03565256 0.01509504 0.06417131
 0.12692949 0.04902068 0.05929832 0.08339326]",,,,,,0.6645444320917504,0.5700555541077399,0.7711385783733017,0.07042604084745291
